year,cbsa_code,acs_area_name,median_gross_rent,annual_rent,median_household_income,population
2024,10100,"Aberdeen, SD Micro Area",783,9396,71488,41925
2024,10140,"Aberdeen, WA Micro Area",1062,12744,64414,77053
2024,10180,"Abilene, TX Metro Area",1141,13692,67328,180408
2024,10220,"Ada, OK Micro Area",889,10668,63017,38235
2024,10300,"Adrian, MI Micro Area",987,11844,70518,98415
2024,10380,"Aguadilla, PR Metro Area",528,6336,22398,251769
2024,10420,"Akron, OH Metro Area",1033,12396,72371,699820
2024,10460,"Alamogordo, NM Micro Area",962,11544,55876,68816
2024,10480,"Alamosa, CO Micro Area",882,10584,51237,27718
2024,10500,"Albany, GA Metro Area",950,11400,56906,146018
2024,10540,"Albany, OR Metro Area",1320,15840,76329,130706
2024,10580,"Albany-Schenectady-Troy, NY Metro Area",1280,15360,88074,906052
2024,10620,"Albemarle, NC Micro Area",861,10332,60704,64651
2024,10660,"Albert Lea, MN Micro Area",849,10188,71023,30623
2024,10700,"Albertville, AL Micro Area",795,9540,62571,99748
2024,10740,"Albuquerque, NM Metro Area",1156,13872,70783,921482
2024,10760,"Alexander City, AL Micro Area",765,9180,59356,40938
2024,10780,"Alexandria, LA Metro Area",946,11352,56353,149622
2024,10820,"Alexandria, MN Micro Area",927,11124,79043,39575
2024,10860,"Alice, TX Micro Area",902,10824,50888,45793
2024,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",1365,16380,84587,873603
2024,10940,"Alma, MI Micro Area",834,10008,63556,41385
2024,10980,"Alpena, MI Micro Area",673,8076,53950,28880
2024,11020,"Altoona, PA Metro Area",885,10620,62382,121277
2024,11060,"Altus, OK Micro Area",842,10104,62799,24678
2024,11100,"Amarillo, TX Metro Area",1086,13032,69611,271917
2024,11140,"Americus, GA Micro Area",854,10248,43688,33574
2024,11180,"Ames, IA Metro Area",1000,12000,73127,127134
2024,11200,"Amherst Town-Northampton, MA Metro Area",1388,16656,87001,162028
2024,11220,"Amsterdam, NY Micro Area",940,11280,64943,49528
2024,11260,"Anchorage, AK Metro Area",1458,17496,100505,401964
2024,11360,"Anderson Creek, NC Micro Area",1112,13344,71287,139150
2024,11380,"Andrews, TX Micro Area",1305,15660,72242,18610
2024,11420,"Angola, IN Micro Area",933,11196,74911,34726
2024,11460,"Ann Arbor, MI Metro Area",1463,17556,89180,369822
2024,11500,"Anniston-Oxford, AL Metro Area",826,9912,55029,116090
2024,11540,"Appleton, WI Metro Area",1060,12720,85825,245768
2024,11580,"Arcadia, FL Micro Area",932,11184,54417,35386
2024,11620,"Ardmore, OK Micro Area",980,11760,60723,48555
2024,11640,"Arecibo, PR Metro Area",550,6600,25084,180767
2024,11660,"Arkadelphia, AR Micro Area",793,9516,52034,21125
2024,11680,"Arkansas City-Winfield, KS Micro Area",809,9708,57878,34411
2024,11700,"Asheville, NC Metro Area",1296,15552,71838,414711
2024,11740,"Ashland, OH Micro Area",888,10656,69860,52256
2024,11820,"Astoria, OR Micro Area",1180,14160,71822,41363
2024,11860,"Atchison, KS Micro Area",765,9180,61112,16208
2024,11900,"Athens, OH Micro Area",939,11268,56001,61737
2024,11940,"Athens, TN Micro Area",822,9864,61438,68227
2024,11980,"Athens, TX Micro Area",1048,12576,65179,84862
2024,12020,"Athens-Clarke County, GA Metro Area",1201,14412,65608,220197
2024,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",1672,20064,89724,6256377
2024,12100,"Atlantic City-Hammonton, NJ Metro Area",1373,16476,82105,371211
2024,12140,"Auburn, IN Micro Area",861,10332,74331,43807
2024,12180,"Auburn, NY Micro Area",942,11304,67904,75102
2024,12220,"Auburn-Opelika, AL Metro Area",1026,12312,63649,199825
2024,12260,"Augusta-Richmond County, GA-SC Metro Area",1120,13440,69344,624181
2024,12300,"Augusta-Waterville, ME Micro Area",992,11904,69077,126808
2024,12380,"Austin, MN Micro Area",927,11124,73074,40343
2024,12420,"Austin-Round Rock-San Marcos, TX Metro Area",1726,20712,100431,2426592
2024,12460,"Bainbridge, GA Micro Area",838,10056,53317,29195
2024,12520,"Baker City, OR Micro Area",865,10380,60936,16840
2024,12540,"Bakersfield-Delano, CA Metro Area",1300,15600,70210,915075
2024,12580,"Baltimore-Columbia-Towson, MD Metro Area",1611,19332,99470,2849436
2024,12620,"Bangor, ME Metro Area",1041,12492,66356,154710
2024,12660,"Baraboo, WI Micro Area",1018,12216,79541,66009
2024,12700,"Barnstable Town, MA Metro Area",1678,20136,95241,231668
2024,12740,"Barre, VT Micro Area",1163,13956,83449,60017
2024,12780,"Bartlesville, OK Micro Area",907,10884,60162,53326
2024,12860,"Batavia, NY Micro Area",929,11148,73314,57787
2024,12900,"Batesville, AR Micro Area",845,10140,56609,38175
2024,12940,"Baton Rouge, LA Metro Area",1135,13620,69599,875313
2024,12980,"Battle Creek, MI Metro Area",968,11616,63177,133778
2024,13020,"Bay City, MI Metro Area",860,10320,61763,103008
2024,13060,"Bay City, TX Micro Area",999,11988,58628,36329
2024,13100,"Beatrice, NE Micro Area",774,9288,67247,21629
2024,13140,"Beaumont-Port Arthur, TX Metro Area",1106,13272,64659,396827
2024,13180,"Beaver Dam, WI Micro Area",988,11856,75929,88742
2024,13220,"Beckley, WV Metro Area",856,10272,52620,112714
2024,13260,"Bedford, IN Micro Area",845,10140,66468,45102
2024,13300,"Beeville, TX Micro Area",1065,12780,57673,31083
2024,13340,"Bellefontaine, OH Micro Area",845,10140,71551,46089
2024,13380,"Bellingham, WA Metro Area",1555,18660,81784,230503
2024,13420,"Bemidji, MN Micro Area",1053,12636,68975,46512
2024,13460,"Bend, OR Metro Area",1697,20364,89788,257814
2024,13540,"Bennington, VT Micro Area",1109,13308,73325,37269
2024,13660,"Big Rapids, MI Micro Area",934,11208,60951,41242
2024,13700,"Big Spring, TX Micro Area",1034,12408,69649,32290
2024,13740,"Billings, MT Metro Area",1117,13404,77194,189255
2024,13780,"Binghamton, NY Metro Area",939,11268,64590,245242
2024,13820,"Birmingham, AL Metro Area",1172,14064,71498,1184613
2024,13860,"Bishop, CA Micro Area",1189,14268,73991,18739
2024,13900,"Bismarck, ND Metro Area",1021,12252,85156,136216
2024,13940,"Blackfoot, ID Micro Area",874,10488,77878,49664
2024,13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",1104,13248,65839,181664
2024,14010,"Bloomington, IL Metro Area",1009,12108,79905,171556
2024,14020,"Bloomington, IN Metro Area",1176,14112,65543,162569
2024,14100,"Bloomsburg-Berwick, PA Micro Area",943,11316,64644,65362
2024,14140,"Bluefield, WV-VA Micro Area",804,9648,50550,98187
2024,14180,"Blytheville, AR Micro Area",830,9960,52548,39126
2024,14220,"Bogalusa, LA Micro Area",774,9288,45380,45120
2024,14260,"Boise City, ID Metro Area",1487,17844,85987,811115
2024,14300,"Bonham, TX Micro Area",1035,12420,72295,37326
2024,14380,"Boone, NC Micro Area",1127,13524,51693,55123
2024,14420,"Borger, TX Micro Area",932,11184,67228,20184
2024,14460,"Boston-Cambridge-Newton, MA-NH Metro Area",2023,24276,115863,4953354
2024,14500,"Boulder, CO Metro Area",1966,23592,103994,328961
2024,14540,"Bowling Green, KY Metro Area",975,11700,63328,186959
2024,14580,"Bozeman, MT Metro Area",1694,20328,93528,124074
2024,14620,"Bradford, PA Micro Area",809,9708,62905,39904
2024,14660,"Brainerd, MN Micro Area",953,11436,71384,98678
2024,14700,"Branson, MO Micro Area",926,11112,56497,56529
2024,14710,"Brattleboro, VT Micro Area",1056,12672,72217,45923
2024,14720,"Breckenridge, CO Micro Area",1857,22284,105544,38397
2024,14740,"Bremerton-Silverdale-Port Orchard, WA Metro Area",1822,21864,104158,277881
2024,14780,"Brenham, TX Micro Area",1165,13980,77825,36647
2024,14820,"Brevard, NC Micro Area",967,11604,66184,33691
2024,14860,"Bridgeport-Stamford-Danbury, CT Metro Area",1875,22500,114565,956330
2024,14940,"Brigham City, UT-ID Micro Area",1104,13248,83616,66014
2024,15020,"Brookhaven, MS Micro Area",760,9120,51119,34877
2024,15060,"Brookings, OR Micro Area",1241,14892,62244,23381
2024,15100,"Brookings, SD Micro Area",901,10812,70064,35353
2024,15180,"Brownsville-Harlingen, TX Metro Area",912,10944,52601,426120
2024,15220,"Brownwood, TX Micro Area",919,11028,57470,38347
2024,15260,"Brunswick-St. Simons, GA Metro Area",1080,12960,66623,115074
2024,15340,"Bucyrus, OH Micro Area",794,9528,58044,41711
2024,15380,"Buffalo-Cheektowaga, NY Metro Area",1057,12684,72237,1161343
2024,15420,"Burley, ID Micro Area",949,11388,70536,47691
2024,15460,"Burlington, IA-IL Micro Area",888,10656,62811,44680
2024,15500,"Burlington, NC Metro Area",1064,12768,65651,176893
2024,15540,"Burlington-South Burlington, VT Metro Area",1581,18972,93043,227846
2024,15580,"Butte-Silver Bow, MT Micro Area",863,10356,61754,35785
2024,15620,"Cadillac, MI Micro Area",896,10752,62015,49284
2024,15660,"Calhoun, GA Micro Area",937,11244,63650,59100
2024,15700,"Cambridge, MD Micro Area",1032,12384,61839,32754
2024,15740,"Cambridge, OH Micro Area",864,10368,58478,38223
2024,15780,"Camden, AR Micro Area",764,9168,51429,26789
2024,15820,"Campbellsville, KY Micro Area",701,8412,56014,37766
2024,15860,"Cañon City, CO Micro Area",1070,12840,62664,49634
2024,15900,"Canton, IL Micro Area",785,9420,60599,33020
2024,15940,"Canton-Massillon, OH Metro Area",908,10896,67801,400372
2024,15980,"Cape Coral-Fort Myers, FL Metro Area",1712,20544,76107,817666
2024,16020,"Cape Girardeau, MO-IL Metro Area",864,10368,66759,98169
2024,16060,"Carbondale, IL Micro Area",782,9384,48763,53064
2024,16100,"Carlsbad-Artesia, NM Micro Area",1245,14940,78426,61105
2024,16140,"Carroll, IA Micro Area",731,8772,72930,20594
2024,16180,"Carson City, NV Metro Area",1248,14976,72355,58384
2024,16220,"Casper, WY Metro Area",1016,12192,72156,79977
