cbsa_code,bls_msa_name,metro_name_norm
10180,"Abilene, TX",abilene tx
10380,"Aguadilla, PR",aguadilla pr
10420,"Akron, OH",akron oh
10500,"Albany, GA",albany ga
10540,"Albany, OR",albany or
10580,"Albany-Schenectady-Troy, NY",albany schenectady troy ny
10740,"Albuquerque, NM",albuquerque nm
10780,"Alexandria, LA",alexandria la
10900,"Allentown-Bethlehem-Easton, PA-NJ",allentown bethlehem easton pa nj
11020,"Altoona, PA",altoona pa
11100,"Amarillo, TX",amarillo tx
11180,"Ames, IA",ames ia
11200,"Amherst Town-Northampton, MA",amherst town northampton ma
11260,"Anchorage, AK",anchorage ak
11460,"Ann Arbor, MI",ann arbor mi
11500,"Anniston-Oxford, AL",anniston oxford al
11540,"Appleton, WI",appleton wi
11640,"Arecibo, PR",arecibo pr
11700,"Asheville, NC",asheville nc
12020,"Athens-Clarke County, GA",athens clarke county ga
12060,"Atlanta-Sandy Springs-Roswell, GA",atlanta sandy springs roswell ga
12100,"Atlantic City-Hammonton, NJ",atlantic city hammonton nj
12220,"Auburn-Opelika, AL",auburn opelika al
12260,"Augusta-Richmond County, GA-SC",augusta richmond county ga sc
12420,"Austin-Round Rock-San Marcos, TX",austin round rock san marcos tx
12540,"Bakersfield-Delano, CA",bakersfield delano ca
12580,"Baltimore-Columbia-Towson, MD",baltimore columbia towson md
12620,"Bangor, ME",bangor me
12700,"Barnstable Town, MA",barnstable town ma
12940,"Baton Rouge, LA",baton rouge la
12980,"Battle Creek, MI",battle creek mi
13020,"Bay City, MI",bay city mi
13140,"Beaumont-Port Arthur, TX",beaumont port arthur tx
13220,"Beckley, WV",beckley wv
13380,"Bellingham, WA",bellingham wa
13460,"Bend, OR",bend or
13740,"Billings, MT",billings mt
13780,"Binghamton, NY",binghamton ny
13820,"Birmingham, AL",birmingham al
13900,"Bismarck, ND",bismarck nd
13980,"Blacksburg-Christiansburg-Radford, VA",blacksburg christiansburg radford va
14010,"Bloomington, IL",bloomington il
14020,"Bloomington, IN",bloomington in
14260,"Boise City, ID",boise city id
14460,"Boston-Cambridge-Newton, MA-NH",boston cambridge newton ma nh
14500,"Boulder, CO",boulder co
14540,"Bowling Green, KY",bowling green ky
14580,"Bozeman, MT",bozeman mt
14740,"Bremerton-Silverdale-Port Orchard, WA",bremerton silverdale port orchard wa
14860,"Bridgeport-Stamford-Danbury, CT",bridgeport stamford danbury ct
15180,"Brownsville-Harlingen, TX",brownsville harlingen tx
15260,"Brunswick-St. Simons, GA",brunswick st simons ga
15380,"Buffalo-Cheektowaga, NY",buffalo cheektowaga ny
15500,"Burlington, NC",burlington nc
15540,"Burlington-South Burlington, VT",burlington south burlington vt
15940,"Canton-Massillon, OH",canton massillon oh
15980,"Cape Coral-Fort Myers, FL",cape coral fort myers fl
16020,"Cape Girardeau, MO-IL",cape girardeau mo il
16180,"Carson City, NV",carson city nv
16220,"Casper, WY",casper wy
16300,"Cedar Rapids, IA",cedar rapids ia
16540,"Chambersburg, PA",chambersburg pa
16580,"Champaign-Urbana, IL",champaign urbana il
16620,"Charleston, WV",charleston wv
16700,"Charleston-North Charleston, SC",charleston north charleston sc
16740,"Charlotte-Concord-Gastonia, NC-SC",charlotte concord gastonia nc sc
16820,"Charlottesville, VA",charlottesville va
16860,"Chattanooga, TN-GA",chattanooga tn ga
16940,"Cheyenne, WY",cheyenne wy
16980,"Chicago-Naperville-Elgin, IL-IN",chicago naperville elgin il in
17020,"Chico, CA",chico ca
17140,"Cincinnati, OH-KY-IN",cincinnati oh ky in
17300,"Clarksville, TN-KY",clarksville tn ky
17410,"Cleveland, OH",cleveland oh
17420,"Cleveland, TN",cleveland tn
17660,"Coeur d'Alene, ID",coeur d alene id
17780,"College Station-Bryan, TX",college station bryan tx
17820,"Colorado Springs, CO",colorado springs co
17860,"Columbia, MO",columbia mo
17900,"Columbia, SC",columbia sc
17980,"Columbus, GA-AL",columbus ga al
18020,"Columbus, IN",columbus in
18140,"Columbus, OH",columbus oh
18580,"Corpus Christi, TX",corpus christi tx
18700,"Corvallis, OR",corvallis or
18880,"Crestview-Fort Walton Beach-Destin, FL",crestview fort walton beach destin fl
19100,"Dallas-Fort Worth-Arlington, TX",dallas fort worth arlington tx
19140,"Dalton, GA",dalton ga
19300,"Daphne-Fairhope-Foley, AL",daphne fairhope foley al
19340,"Davenport-Moline-Rock Island, IA-IL",davenport moline rock island ia il
19430,"Dayton-Kettering-Beavercreek, OH",dayton kettering beavercreek oh
19460,"Decatur, AL",decatur al
19500,"Decatur, IL",decatur il
19660,"Deltona-Daytona Beach-Ormond Beach, FL",deltona daytona beach ormond beach fl
19740,"Denver-Aurora-Centennial, CO",denver aurora centennial co
19780,"Des Moines-West Des Moines, IA",des moines west des moines ia
19820,"Detroit-Warren-Dearborn, MI",detroit warren dearborn mi
20020,"Dothan, AL",dothan al
20100,"Dover, DE",dover de
20220,"Dubuque, IA",dubuque ia
20260,"Duluth, MN-WI",duluth mn wi
20500,"Durham-Chapel Hill, NC",durham chapel hill nc
20580,"Eagle Pass, TX",eagle pass tx
20740,"Eau Claire, WI",eau claire wi
20940,"El Centro, CA",el centro ca
21060,"Elizabethtown, KY",elizabethtown ky
