source_cbsa_code,source_metro,source_cluster,neighbor_rank,neighbor_cbsa_code,neighbor_metro,neighbor_cluster,distance,neighbor_annual_rent,neighbor_rpp_all_items,neighbor_rpp_housing,neighbor_median_household_income,neighbor_real_household_income,neighbor_mean_real_occ_wage,neighbor_mean_real_income_after_rent,neighbor_mean_rent_burden,neighbor_share_high_lq
10180,"Abilene, TX",2,1,41660,"San Angelo, TX",2,2.555761313549976,13860.0,92.453,81.442,68419.0,74004.08856391897,58094.47881147742,43103.07777527525,0.30891388764814864,0.3392070484581498
10180,"Abilene, TX",2,2,31180,"Lubbock, TX",3,3.1298040059575016,13908.0,91.317,76.357,63629.0,69679.24920880012,60446.15502547761,45215.69410363392,0.30262482152632064,0.2794871794871795
10180,"Abilene, TX",2,3,11100,"Amarillo, TX",2,3.19848831254776,13032.0,91.82,78.38,69611.0,75812.45915922457,61035.46924106171,46842.48296356226,0.2803830781797324,0.2767857142857143
10180,"Abilene, TX",2,4,48660,"Wichita Falls, TX",2,3.340391000080835,11940.0,89.513,68.208,65379.0,73038.55305933216,60039.527016390704,46700.68237929889,0.26803627407771496,0.3374485596707819
10180,"Abilene, TX",2,5,17300,"Clarksville, TN-KY",2,3.4389141830222076,14484.0,90.947,73.801,68967.0,75832.07802346422,62072.269197078145,46146.51023856385,0.3053920742170733,0.33663366336633666
10180,"Abilene, TX",2,6,41540,"Salisbury, MD",2,3.7633423696897284,15288.0,95.617,87.212,73802.0,77185.01940031584,64197.91982597236,48209.13122143551,0.2976588692551509,0.3983402489626556
10180,"Abilene, TX",2,7,47380,"Waco, TX",4,3.8087943247232423,13812.0,92.55,83.531,66205.0,71534.30578065911,63271.5083520552,48347.68339257384,0.28515605049146603,0.2621082621082621
10180,"Abilene, TX",2,8,47020,"Victoria, TX",2,3.8407027621307734,13812.0,89.839,69.318,70236.0,78179.85507407696,60374.08746734778,44999.91811995968,0.30440067181058594,0.4020618556701031
10180,"Abilene, TX",2,9,28660,"Killeen-Temple, TX",2,4.060757523881028,14604.0,91.132,77.884,69923.0,76727.16499144098,62653.03964041871,46627.93320140717,0.308148462556426,0.30158730158730157
10180,"Abilene, TX",2,10,43340,"Shreveport-Bossier City, LA",2,4.247640319289124,12168.0,84.766,52.286,55925.0,65975.74499209588,63475.7282131115,49120.916142234026,0.2779671839710722,0.3884057971014493
10380,"Aguadilla, PR",2,1,11640,"Arecibo, PR",2,3.7143782007389414,6600.0,,,25084.0,,,,0.23296854931898064,0.45454545454545453
10380,"Aguadilla, PR",2,2,32420,"Mayaguez, PR",2,3.8920398587993623,6048.0,,,21163.0,,,,0.2200711591994767,0.46153846153846156
10380,"Aguadilla, PR",2,3,38660,"Ponce, PR",2,4.846209191456583,6396.0,,,22247.0,,,,0.22019577939120014,0.4117647058823529
10380,"Aguadilla, PR",2,4,44940,"Sumter, SC",2,8.125724839130775,12684.0,88.02,60.833,56693.0,64409.22517609634,62039.69670581962,47629.335424292694,0.289801782055298,0.3563218390804598
10380,"Aguadilla, PR",2,5,33140,"Michigan City-La Porte, IN",2,8.180969470197656,11712.0,91.682,68.451,71055.0,77501.58155363103,60308.200852819915,47533.61042067401,0.24751796376976304,0.34759358288770054
10380,"Aguadilla, PR",2,6,22520,"Florence-Muscle Shoals, AL",2,8.18118672663049,10236.0,84.817,47.677,61891.0,72970.04138321328,60980.613091131,48912.27773383236,0.2468446353120323,0.4383561643835616
10380,"Aguadilla, PR",2,7,40580,"Rocky Mount, NC",2,8.254767661553771,11040.0,88.012,56.103,59636.0,67758.94196245966,63586.16470998596,51042.42067508163,0.23718808245067868,0.37398373983739835
10380,"Aguadilla, PR",2,8,24140,"Goldsboro, NC",2,8.261345360659586,11580.0,88.462,57.684,59733.0,67523.9085709118,60073.05161161477,46982.68512657035,0.26023030310527223,0.27835051546391754
10380,"Aguadilla, PR",2,9,36980,"Owensboro, KY",2,8.292741319870942,10884.0,88.61,55.698,68002.0,76743.03126058007,61968.56622802557,49685.52819620073,0.23782500534711193,0.36633663366336633
10380,"Aguadilla, PR",2,10,34620,"Muncie, IN",2,8.323343357807937,10872.0,88.148,57.474,58127.0,65942.50578572402,64374.798166014705,52040.99592433027,0.23166642453710123,0.375609756097561
10420,"Akron, OH",4,1,45780,"Toledo, OH",4,2.8954138780812837,11268.0,91.455,67.317,65486.0,71604.61429118145,66680.42277093793,54359.609256094576,0.21694709413389476,0.2801724137931034
10420,"Akron, OH",4,2,17140,"Cincinnati, OH-KY-IN",4,2.9174885861250304,13260.0,95.37,87.608,81120.0,85058.19440075495,67151.80475042066,53248.06143491264,0.24356120073391233,0.215311004784689
10420,"Akron, OH",4,3,19430,"Dayton-Kettering-Beavercreek, OH",4,2.940438278650053,12468.0,92.694,72.712,71739.0,77393.3587934494,69465.98837606114,56015.2795923211,0.2309123392681901,0.2871900826446281
10420,"Akron, OH",4,4,30460,"Lexington-Fayette, KY",4,3.000916270315919,13656.0,92.889,77.093,71966.0,77475.26617791127,65679.17980959354,50977.761988322985,0.2637648845559352,0.2595078299776286
10420,"Akron, OH",4,5,17410,"Cleveland, OH",4,3.0041146496356848,12600.0,93.923,79.434,70678.0,75251.00348157533,67255.02311467905,53839.77871234947,0.23579692944191716,0.25938009787928223
