feature,importance
rent_to_median_wage_ratio_lag1,0.7528075302020995
median_wage_to_rent_ratio_lag1,0.22328314510290695
wage_annual_mean_lag1,0.0065590405897575565
annual_rent_lag1,0.004071747325197486
wage_annual_median_lag1,0.0026689267901573036
jobs_1000_lag1,0.0017634800580327446
wage_growth_lag1,0.0017393680826614255
loc_quotient_lag1,0.0012146884478901568
median_household_income_lag1,0.0011384232440931146
population_lag1,0.001034608838957013
log_tot_emp_lag1,0.0006911346402720122
tot_emp_lag1,0.0006773473961164171
rent_burden_change_lag1,0.0006644385291081083
rent_growth_lag1,0.0002673122567739995
occ_major_27,0.00016158042542480783
employment_growth_lag1,0.00015228034001164183
lq_change_lag1,0.00013515804150256885
occ_major_39,9.446998051319922e-05
occ_major_51,8.884599163933963e-05
prim_state_CA,7.506285725728832e-05
occ_major_13,6.173069301377131e-05
occ_major_35,5.338495590899845e-05
occ_major_25,4.9206706573510905e-05
prim_state_TX,4.816336771525725e-05
occ_major_29,4.6280832167770156e-05
prim_state_FL,4.372186609659006e-05
occ_major_49,4.136489334595345e-05
occ_major_53,4.056678765323607e-05
occ_major_41,2.9901257855312034e-05
occ_major_47,2.7920793529951377e-05
occ_major_43,2.6330227374222647e-05
occ_major_15,2.5229599213082106e-05
occ_major_11,2.0609738742864928e-05
occ_major_21,1.59122867806045e-05
prim_state_HI,1.475345853409638e-05
occ_major_33,1.4691207672366717e-05
prim_state_LA,1.2043601543839195e-05
occ_major_31,1.0933450320542781e-05
prim_state_GA,9.587539270835215e-06
prim_state_UT,9.276896932500637e-06
occ_major_17,8.182498116568255e-06
occ_major_19,7.320668456315035e-06
prim_state_NC,6.975848586047872e-06
occ_major_37,6.045398854454323e-06
prim_state_WV,6.039193388722289e-06
prim_state_CO,5.127480327449991e-06
prim_state_SC,4.986590123669604e-06
prim_state_PA,4.362701885506002e-06
prim_state_MD,4.024770045737693e-06
prim_state_IL,4.022233350970757e-06
prim_state_NV,3.995759109602519e-06
prim_state_AL,3.891870090126013e-06
prim_state_MO,3.560916900839532e-06
prim_state_OR,3.2959292155684195e-06
prim_state_NY,3.2172605236769493e-06
prim_state_WI,3.146404566593019e-06
prim_state_AK,3.1348374433174214e-06
prim_state_TN,2.941222424776591e-06
prim_state_IN,2.3808822296362303e-06
prim_state_MS,2.3626974052684252e-06
prim_state_OH,2.330514034640796e-06
prim_state_ID,2.304548883530164e-06
prim_state_VA,2.1482663440436223e-06
prim_state_OK,1.891519276634719e-06
prim_state_MI,1.6979444098998994e-06
prim_state_WA,1.5371848488427696e-06
prim_state_DC,1.5261512551200426e-06
prim_state_IA,1.4362461446472285e-06
prim_state_KY,1.4188451883438684e-06
prim_state_AZ,1.1697979746927153e-06
prim_state_AR,1.0957327845079829e-06
occ_major_23,1.0009031461625225e-06
prim_state_NE,3.8096957849224585e-07
prim_state_NJ,2.468237396135946e-07
prim_state_MN,2.386700592468779e-07
prim_state_NM,1.8756565450106177e-07
occ_major_45,6.289530432072576e-08
prim_state_ND,4.99634387957831e-08
prim_state_MT,4.214191570255666e-08
prim_state_PR,1.885235571232652e-08
prim_state_SD,0.0
prim_state_DE,0.0
prim_state_KS,0.0
prim_state_WY,0.0
