target,model,feature,importance
RPP-adjusted income after rent,Tuned Random Forest,real_income_after_rent_median_lag1,0.9664384668530688
RPP-adjusted income after rent,Tuned Random Forest,real_wage_annual_mean_lag1,0.013031038680724428
RPP-adjusted income after rent,Tuned Random Forest,real_wage_annual_median_lag1,0.006786943826857091
RPP-adjusted income after rent,Tuned Random Forest,jobs_1000_lag1,0.0010760095632505265
RPP-adjusted income after rent,Tuned Random Forest,wage_annual_mean_lag1,0.001059319489796986
RPP-adjusted income after rent,Tuned Random Forest,rent_to_median_wage_ratio_lag1,0.0009846564984195884
RPP-adjusted income after rent,Tuned Random Forest,median_wage_to_rent_ratio_lag1,0.0009825545015473573
RPP-adjusted income after rent,Tuned Random Forest,loc_quotient_lag1,0.0007855778743671154
RPP-adjusted income after rent,Tuned Random Forest,wage_annual_median_lag1,0.0006078115036595273
RPP-adjusted income after rent,Tuned Random Forest,rpp_services_other_lag1,0.0005398714743486455
RPP-adjusted income after rent,Tuned Random Forest,real_median_household_income_lag1,0.0005390901878026888
RPP-adjusted income after rent,Tuned Random Forest,cost_adjusted_rent_burden_median_lag1,0.0005390231641229569
RPP-adjusted income after rent,Tuned Random Forest,population_lag1,0.0005304116604319033
RPP-adjusted income after rent,Tuned Random Forest,rpp_goods_lag1,0.0005073617385731093
RPP-adjusted income after rent,Tuned Random Forest,wage_growth_lag1,0.0004792512621716087
RPP-adjusted income after rent,Tuned Random Forest,real_wage_growth_lag1,0.00044835634824393707
RPP-adjusted income after rent,Tuned Random Forest,median_household_income_lag1,0.0004231099144813603
RPP-adjusted income after rent,Tuned Random Forest,occ_major_13,0.0003873526596928645
RPP-adjusted income after rent,Tuned Random Forest,occ_major_29,0.0003865107134609006
RPP-adjusted income after rent,Tuned Random Forest,annual_rent_lag1,0.0003788789814320629
RPP-adjusted income after rent,Tuned Random Forest,rpp_services_housing_lag1,0.0003523369655436582
RPP-adjusted income after rent,Tuned Random Forest,rpp_all_items_lag1,0.0003485510286451443
RPP-adjusted income after rent,Tuned Random Forest,log_tot_emp_lag1,0.0003077342867148364
RPP-adjusted income after rent,Tuned Random Forest,tot_emp_lag1,0.00030658706610011923
RPP-adjusted income after rent,Tuned Random Forest,rent_growth_lag1,0.0002056822240441785
RPP-adjusted income after rent,Tuned Random Forest,rpp_housing_change_lag1,0.000185873771826315
RPP-adjusted income after rent,Tuned Random Forest,occ_major_15,0.00016531978895170934
RPP-adjusted income after rent,Tuned Random Forest,cost_adjusted_rent_burden_change_lag1,0.00014931987465768617
RPP-adjusted income after rent,Tuned Random Forest,rent_burden_change_lag1,0.0001472151864954196
RPP-adjusted income after rent,Tuned Random Forest,real_income_after_rent_change_lag1,0.00013661431298653186
RPP-adjusted income after rent,Tuned Random Forest,rpp_all_items_change_lag1,0.00012844483332764717
RPP-adjusted income after rent,Tuned Random Forest,occ_major_25,0.0001217590077950968
RPP-adjusted income after rent,Tuned Random Forest,occ_major_11,0.00010051055170811876
RPP-adjusted income after rent,Tuned Random Forest,occ_major_41,8.009424361542766e-05
RPP-adjusted income after rent,Tuned Random Forest,lq_change_lag1,6.11406805068293e-05
RPP-adjusted income after rent,Tuned Random Forest,employment_growth_lag1,5.6343655304268876e-05
RPP-adjusted income after rent,Tuned Random Forest,occ_major_17,4.0680799262623354e-05
RPP-adjusted income after rent,Tuned Random Forest,occ_major_19,2.865743453433637e-05
RPP-adjusted income after rent,Tuned Random Forest,occ_major_27,2.3246191274896967e-05
RPP-adjusted income after rent,Tuned Random Forest,prim_state_FL,1.900693926973649e-05
RPP-adjusted income after rent,Tuned Random Forest,prim_state_CA,1.891512717131902e-05
RPP-adjusted income after rent,Tuned Random Forest,occ_major_23,1.6254906684740034e-05
RPP-adjusted income after rent,Tuned Random Forest,occ_major_51,1.2363130635320385e-05
RPP-adjusted income after rent,Tuned Random Forest,occ_major_47,1.0528108719153214e-05
RPP-adjusted income after rent,Tuned Random Forest,occ_major_49,1.0149355096163439e-05
RPP-adjusted income after rent,Tuned Random Forest,prim_state_TX,6.937520962150355e-06
RPP-adjusted income after rent,Tuned Random Forest,occ_major_43,4.82829336669975e-06
RPP-adjusted income after rent,Tuned Random Forest,occ_major_39,4.6986256864396436e-06
RPP-adjusted income after rent,Tuned Random Forest,prim_state_PA,4.331316128239335e-06
RPP-adjusted income after rent,Tuned Random Forest,prim_state_NY,4.308511975363083e-06
RPP-adjusted income after rent,Tuned Random Forest,occ_major_21,4.098877810601249e-06
RPP-adjusted income after rent,Tuned Random Forest,prim_state_IA,2.988886090199205e-06
RPP-adjusted income after rent,Tuned Random Forest,occ_major_35,2.8592493346789737e-06
RPP-adjusted income after rent,Tuned Random Forest,prim_state_NC,2.3914202961774077e-06
RPP-adjusted income after rent,Tuned Random Forest,occ_major_53,2.1321556332389658e-06
RPP-adjusted income after rent,Tuned Random Forest,prim_state_VA,1.6127115620626475e-06
RPP-adjusted income after rent,Tuned Random Forest,occ_major_33,1.176762950469479e-06
RPP-adjusted income after rent,Tuned Random Forest,prim_state_WI,1.1437609649893277e-06
RPP-adjusted income after rent,Tuned Random Forest,prim_state_IN,9.506439281269616e-07
RPP-adjusted income after rent,Tuned Random Forest,prim_state_WA,9.200106090677003e-07
RPP-adjusted income after rent,Tuned Random Forest,prim_state_TN,8.751266190151097e-07
RPP-adjusted income after rent,Tuned Random Forest,prim_state_LA,7.740489012989851e-07
RPP-adjusted income after rent,Tuned Random Forest,prim_state_SC,7.385551629185185e-07
RPP-adjusted income after rent,Tuned Random Forest,prim_state_MI,6.966572365335529e-07
RPP-adjusted income after rent,Tuned Random Forest,occ_major_31,6.82284537074195e-07
RPP-adjusted income after rent,Tuned Random Forest,prim_state_OK,6.803498305252153e-07
RPP-adjusted income after rent,Tuned Random Forest,prim_state_OR,6.742794142920309e-07
RPP-adjusted income after rent,Tuned Random Forest,occ_major_37,6.643981928643418e-07
RPP-adjusted income after rent,Tuned Random Forest,prim_state_IL,6.582027079444831e-07
RPP-adjusted income after rent,Tuned Random Forest,prim_state_MO,5.657818694314139e-07
RPP-adjusted income after rent,Tuned Random Forest,prim_state_CO,4.651328418923187e-07
RPP-adjusted income after rent,Tuned Random Forest,prim_state_OH,3.9374275050848796e-07
RPP-adjusted income after rent,Tuned Random Forest,prim_state_GA,3.7383033891606345e-07
RPP-adjusted income after rent,Tuned Random Forest,prim_state_AL,3.0658431586321564e-07
RPP-adjusted income after rent,Tuned Random Forest,prim_state_MN,2.9925525123589743e-07
RPP-adjusted income after rent,Tuned Random Forest,prim_state_UT,2.4586832462687985e-07
RPP-adjusted income after rent,Tuned Random Forest,prim_state_WV,1.960578554813252e-07
RPP-adjusted income after rent,Tuned Random Forest,prim_state_NV,1.9020753101597252e-07
RPP-adjusted income after rent,Tuned Random Forest,prim_state_KY,9.930185888657734e-08
RPP-adjusted income after rent,Tuned Random Forest,prim_state_HI,3.828542104719776e-08
RPP-adjusted income after rent,Tuned Random Forest,prim_state_AZ,3.741028013334029e-08
RPP-adjusted income after rent,Tuned Random Forest,prim_state_DC,2.7376426353310363e-08
RPP-adjusted income after rent,Tuned Random Forest,prim_state_NJ,1.214770903384215e-08
RPP-adjusted income after rent,Tuned Random Forest,prim_state_SD,0.0
RPP-adjusted income after rent,Tuned Random Forest,prim_state_MD,0.0
RPP-adjusted income after rent,Tuned Random Forest,prim_state_NM,0.0
RPP-adjusted income after rent,Tuned Random Forest,prim_state_NE,0.0
RPP-adjusted income after rent,Tuned Random Forest,prim_state_ND,0.0
RPP-adjusted income after rent,Tuned Random Forest,prim_state_MT,0.0
RPP-adjusted income after rent,Tuned Random Forest,prim_state_MS,0.0
RPP-adjusted income after rent,Tuned Random Forest,prim_state_KS,0.0
RPP-adjusted income after rent,Tuned Random Forest,prim_state_ID,0.0
