target,model,feature,importance
Rent burden: annual rent / annual median wage,Tuned Random Forest,rent_to_median_wage_ratio_lag1,0.778048272224713
Rent burden: annual rent / annual median wage,Tuned Random Forest,median_wage_to_rent_ratio_lag1,0.20814757122708744
Rent burden: annual rent / annual median wage,Tuned Random Forest,real_wage_annual_mean_lag1,0.002621320965383243
Rent burden: annual rent / annual median wage,Tuned Random Forest,cost_adjusted_rent_burden_median_lag1,0.0021253817429366865
Rent burden: annual rent / annual median wage,Tuned Random Forest,annual_rent_lag1,0.0015082670424050259
Rent burden: annual rent / annual median wage,Tuned Random Forest,wage_annual_mean_lag1,0.0014411061209005152
Rent burden: annual rent / annual median wage,Tuned Random Forest,real_wage_annual_median_lag1,0.0011239550365952891
Rent burden: annual rent / annual median wage,Tuned Random Forest,wage_growth_lag1,0.0007093844204527754
Rent burden: annual rent / annual median wage,Tuned Random Forest,wage_annual_median_lag1,0.0005634954757163292
Rent burden: annual rent / annual median wage,Tuned Random Forest,jobs_1000_lag1,0.0005143930594924777
Rent burden: annual rent / annual median wage,Tuned Random Forest,real_wage_growth_lag1,0.0004905236172912592
Rent burden: annual rent / annual median wage,Tuned Random Forest,real_income_after_rent_median_lag1,0.0003404202766233179
Rent burden: annual rent / annual median wage,Tuned Random Forest,real_income_after_rent_change_lag1,0.00028290799624558044
Rent burden: annual rent / annual median wage,Tuned Random Forest,population_lag1,0.0002639011916932218
Rent burden: annual rent / annual median wage,Tuned Random Forest,rpp_services_housing_lag1,0.000230677104268189
Rent burden: annual rent / annual median wage,Tuned Random Forest,tot_emp_lag1,0.00019871299225744508
Rent burden: annual rent / annual median wage,Tuned Random Forest,log_tot_emp_lag1,0.00018623151659782384
Rent burden: annual rent / annual median wage,Tuned Random Forest,rent_burden_change_lag1,0.0001635931628180143
Rent burden: annual rent / annual median wage,Tuned Random Forest,rpp_services_other_lag1,0.0001535867408925786
Rent burden: annual rent / annual median wage,Tuned Random Forest,loc_quotient_lag1,0.00013118345781042742
Rent burden: annual rent / annual median wage,Tuned Random Forest,rpp_goods_lag1,9.392610748085955e-05
Rent burden: annual rent / annual median wage,Tuned Random Forest,real_median_household_income_lag1,9.366363338279031e-05
Rent burden: annual rent / annual median wage,Tuned Random Forest,median_household_income_lag1,9.27419767079061e-05
Rent burden: annual rent / annual median wage,Tuned Random Forest,cost_adjusted_rent_burden_change_lag1,9.013076366765729e-05
Rent burden: annual rent / annual median wage,Tuned Random Forest,rpp_all_items_lag1,7.814827406364115e-05
Rent burden: annual rent / annual median wage,Tuned Random Forest,rent_growth_lag1,5.1762836033441075e-05
Rent burden: annual rent / annual median wage,Tuned Random Forest,rpp_all_items_change_lag1,3.9938812643020804e-05
