model,split,mae,rmse,r2
Persistence Baseline,test,0.020000969316223954,0.03320893915420557,0.9323887904981352
Random Forest,test,0.02343913789213966,0.0341065610756166,0.9286843960224473
Ridge Regression,test,0.02414886519397808,0.03457777730995198,0.9267001904556645
Linear Regression,test,0.024149196222309443,0.03457804502594192,0.9266990554141108
Train Mean Baseline,test,0.10146798031985864,0.1277234233369236,-0.00011467718085689249
Random Forest,train,0.020667637217760517,0.03233973528049248,0.9372251964265961
Ridge Regression,train,0.023811329007900145,0.03601119685548059,0.9221627376918684
Linear Regression,train,0.023811424447550352,0.0360111967723656,0.9221627380511701
Persistence Baseline,train,0.026136735856494446,0.03948146417464322,0.9064381196311861
Train Mean Baseline,train,0.10290214857479046,0.12907548910956787,0.0
Persistence Baseline,val,0.020240328385896313,0.03366564819548118,0.9300472461131043
Random Forest,val,0.023368166900873785,0.03385324069748428,0.9292654894032178
Linear Regression,val,0.024086352809054117,0.03434625361961438,0.9271902399319824
Ridge Regression,val,0.0240866411327894,0.03434640836915515,0.9271895838311778
Train Mean Baseline,val,0.10135113457045244,0.12728828428203084,-1.7776641533018278e-05
Random Forest Refit Train+Val,test,0.021673549943607717,0.032737633158154804,0.9342942682942087
