target,model,split,mae,rmse,r2
Rent burden: annual rent / annual median wage,Persistence Baseline,test,0.020008900825217387,0.033236114665461815,0.9324788401560389
Rent burden: annual rent / annual median wage,Random Forest,test,0.022868793992537297,0.03354375674052343,0.9312230684115795
Rent burden: annual rent / annual median wage,Tuned Random Forest,test,0.02291822863136825,0.03377186991780815,0.9302844573604229
Rent burden: annual rent / annual median wage,Linear Regression,test,0.025433480122652022,0.03571708135029811,0.9220221381976107
Rent burden: annual rent / annual median wage,Tuned Ridge Regression,test,0.025440081991254488,0.03572459305459436,0.9219893355042257
Rent burden: annual rent / annual median wage,Ridge Regression,test,0.025465438996726972,0.035753021235681574,0.9218651306646091
Rent burden: annual rent / annual median wage,Train Mean Baseline,test,0.10176041544672089,0.12791044721398967,-7.237573697760347e-05
Rent burden: annual rent / annual median wage,Random Forest,train,0.02044112025407794,0.03201950378327091,0.938729368358905
Rent burden: annual rent / annual median wage,Tuned Random Forest,train,0.02248208374137713,0.03499893874845473,0.9267963199056111
Rent burden: annual rent / annual median wage,Tuned Ridge Regression,train,0.023828663238079608,0.03604676099119076,0.9223474616157105
Rent burden: annual rent / annual median wage,Linear Regression,train,0.02382867340723047,0.03604674962752998,0.9223475105752809
Rent burden: annual rent / annual median wage,Ridge Regression,train,0.023828754771211484,0.03604710934870824,0.9223459607332198
Rent burden: annual rent / annual median wage,Persistence Baseline,train,0.02626488796845127,0.039674560694818915,0.9059308074338824
Rent burden: annual rent / annual median wage,Train Mean Baseline,train,0.1032390563407474,0.12935654829057044,0.0
Rent burden: annual rent / annual median wage,Persistence Baseline,val,0.020284243441366853,0.033751111470259505,0.9299870799438464
Rent burden: annual rent / annual median wage,Tuned Random Forest,val,0.02288404111824365,0.03367027966029983,0.9303220315351639
Rent burden: annual rent / annual median wage,Random Forest,val,0.022930288038251166,0.03345311897994318,0.9312179266411942
Rent burden: annual rent / annual median wage,Linear Regression,val,0.024504728033389524,0.034800372660430956,0.9255662632870549
Rent burden: annual rent / annual median wage,Tuned Ridge Regression,val,0.02451189568016358,0.03480599072544716,0.9255422286406068
Rent burden: annual rent / annual median wage,Ridge Regression,val,0.024539343790652375,0.034826163212758374,0.9254558967378034
Rent burden: annual rent / annual median wage,Train Mean Baseline,val,0.10166545876411913,0.12755696875346065,-2.3977216401016577e-05
Rent burden: annual rent / annual median wage,Tuned Random Forest Refit Train+Val,test,0.020753557152293454,0.03230491991664786,0.9362093930951815
RPP-adjusted income after rent,Tuned Random Forest,test,4696.224513632417,7806.9060004360035,0.9337665504181367
RPP-adjusted income after rent,Random Forest,test,4705.8303796459,7809.889941461108,0.9337159094913478
RPP-adjusted income after rent,Persistence Baseline,test,4733.409645385357,8128.086454207344,0.9282046854131394
RPP-adjusted income after rent,Linear Regression,test,4813.155255679723,7835.298122222819,0.9332839193530912
RPP-adjusted income after rent,Tuned Ridge Regression,test,4813.804841701255,7836.2733854978,0.9332673099550383
RPP-adjusted income after rent,Ridge Regression,test,4817.267231369706,7840.793631049523,0.9331903000981179
RPP-adjusted income after rent,Train Mean Baseline,test,22072.19022799355,30808.24426829982,-0.03146233097268358
RPP-adjusted income after rent,Random Forest,train,4163.103745829791,6837.2841049123035,0.9378366035231291
RPP-adjusted income after rent,Tuned Random Forest,train,4334.014271747397,7093.879339883585,0.9330832134194935
RPP-adjusted income after rent,Tuned Ridge Regression,train,4724.376188748473,7644.852647272608,0.9222848444210077
RPP-adjusted income after rent,Ridge Regression,train,4724.381005384712,7645.057384197994,0.9222806817835307
RPP-adjusted income after rent,Linear Regression,train,4724.43731049167,7644.84398976246,0.9222850204399313
RPP-adjusted income after rent,Persistence Baseline,train,4921.248293379663,8182.057811689926,0.9109789791080862
RPP-adjusted income after rent,Train Mean Baseline,train,20823.087907164012,27423.081762604455,0.0
RPP-adjusted income after rent,Tuned Random Forest,val,4567.101834247845,7695.266705280596,0.9334973381708814
RPP-adjusted income after rent,Random Forest,val,4568.586320758033,7690.826777092738,0.9335740559440799
RPP-adjusted income after rent,Linear Regression,val,4795.230483164086,7814.271995162228,0.931424540923123
RPP-adjusted income after rent,Tuned Ridge Regression,val,4796.623206528347,7815.928308933614,0.9313954673216936
RPP-adjusted income after rent,Ridge Regression,val,4802.636159070432,7822.8977387463165,0.9312730640365918
RPP-adjusted income after rent,Persistence Baseline,val,4816.366584623236,8150.843640590923,0.9253900412184233
RPP-adjusted income after rent,Train Mean Baseline,val,21746.703695876484,30069.89018500979,-0.01544255568841324
RPP-adjusted income after rent,Tuned Random Forest Refit Train+Val,test,4522.870066759797,7603.394339394283,0.9371747096419637
