distance,cbsa_code,bls_msa_name,metro_cluster,annual_rent,median_household_income,mean_occ_wage,mean_affordability_ratio,share_high_lq
1.4615349078729025,41660,"San Angelo, TX",2,14388,69726,57444.38053097345,0.301120229608688,0.3392070484581498
1.9229135820427488,31180,"Lubbock, TX",4,14484,64469,60190.9462915601,0.2941342740313857,0.2794871794871795
1.9939151852114556,48660,"Wichita Falls, TX",2,12780,66981,58198.39506172839,0.2695246462173931,0.3374485596707819
2.4313098033979514,41540,"Salisbury, MD",4,16656,70389,66942.32365145229,0.2998734410267375,0.3983402489626556
2.4649927347925447,11100,"Amarillo, TX",4,13164,69595,60343.709198813056,0.2663825074137026,0.2767857142857143
2.4701219290226173,47020,"Victoria, TX",2,13416,65829,58583.541666666664,0.27901740910712486,0.4020618556701031
2.483462407418512,17300,"Clarksville, TN-KY",4,15120,72347,60732.724252491695,0.30113550701793973,0.33663366336633666
2.7025366521951057,43340,"Shreveport-Bossier City, LA",2,11880,57514,58335.14619883041,0.24991305047130602,0.3884057971014493
2.709062975594258,30980,"Longview, TX",4,13092,65711,59294.489795918365,0.2718848956213962,0.3224852071005917
2.7582317384900437,47380,"Waco, TX",4,14856,67792,62446.58045977011,0.29042492992999275,0.2621082621082621
